Rotation X,Rotation Y,Rotation Z,Position X,Position Y,Position Z
0,0,0,0,0,0
0.069085791,0.05501988,-0.067532911,-0.004579578,-0.007917236,-0.144540959
0.031416119,0.015006956,-0.043182379,0.002002346,-0.046311671,-0.152940757
0.010121229,-0.002957316,0.024605975,0.005605824,-0.066180613,-0.166535675
-0.019892949,-0.049873532,0.039212124,0.023107789,-0.054156298,-0.184515145
-0.031862557,-0.083592739,0.050081656,0.031715588,-0.043607839,-0.188048954
-0.026726239,-0.062392748,0.064351037,0.054540621,-0.035329403,-0.17970808
-0.037808179,-0.054596434,0.058756203,0.08157295,-0.022177583,-0.191851814
-0.035846766,-0.021413461,0.077045274,0.075440431,-0.035788293,-0.154211873
-0.032955082,-0.028256267,0.036828225,0.10264689,-0.020045924,-0.1593164
-0.024141845,-0.0191863,0.026490434,0.114954568,-0.016921603,-0.138933559
-0.007536481,-0.006411587,0.018854736,0.123427507,-0.022759438,-0.119595897
-0.007294459,-0.011807068,-0.021619636,0.156668938,-0.013398497,-0.118428195
-0.012970561,0.015719188,0.001920029,0.128515268,-0.037108377,-0.095349286
-0.04184884,-0.018209085,-0.031007672,0.118251287,-0.046110093,-0.104431811
-0.023343133,-0.009334545,-0.011721527,0.089769541,-0.06749097,-0.105562914
-0.015437832,-0.045991742,-0.00774089,0.052308216,-0.063001058,-0.130767259
-0.016284517,-0.034120225,-0.003516998,0.012537467,-0.050010647,-0.124704644
0.013503966,-0.029954691,0.000277033,-0.063678848,-0.053128499,-0.106819129
0.0427487,-0.006358881,-0.016453511,-0.107008817,-0.048911543,-0.100491082
0.085677139,-0.012615126,-0.052061852,-0.173766504,-0.03920832,-0.098158531
0.118564319,0.012847942,0.011394319,-0.21821399,-0.042887255,-0.080855614
0.112118146,-0.010130764,0.025967871,-0.251461898,-0.036511538,-0.094314877
0.119563946,0.007828319,0.068482825,-0.298546918,-0.051933306,-0.052235835
0.133140982,0.007472328,0.099600097,-0.330790013,-0.044732267,-0.051933018
0.139938735,-0.033204165,0.049773094,-0.294156881,-0.014531217,-0.085978239
0.111794039,-0.020797481,0.058936483,-0.318861001,-0.038206435,-0.034165739
0.102004531,-0.019642113,0.022338312,-0.29348951,-0.022897483,-0.042257369
